project,year,fellow,region,match,corrected
"
              To investigate the organisation and conduct of training courses for farmers and for those planning to follow farming careers - UK, USA
",1986,"BONNEY, Lawrence (Laurie)",USA,yes,USA
"
              To study overseas curricula, materials and teaching/learning methods for students and teachers of post-primary small business education in order to develop teaching materials and disseminate ideas in Australia - USA, UK, Canada
",1986,"BROOKS, Lesley",USA,yes,USA
"
              To study overseas curricula, materials and teaching/learning methods for students and teachers of post-primary small business education in order to develop teaching materials and disseminate ideas in Australia - USA, UK, Canada
",1986,"BROOKS, Lesley",UK,yes,UK
"
              To study overseas curricula, materials and teaching/learning methods for students and teachers of post-primary small business education in order to develop teaching materials and disseminate ideas in Australia - USA, UK, Canada
",1986,"BROOKS, Lesley",Canada,yes,Canada
"
              To attend linguistics seminars and research libraries of historical recorded data of Pitcairnese and Norfolkese languages - Australia
",1986,"BUFFETT, Alice",Australia,yes,Australia
"
              To study and work on the restoration of historic buildings so as to better preserve Australian historic buildings - Italy, France, Germany, UK
",1986,"CHARLWOOD, James",Italy,yes,Italy
"
              To study and work on the restoration of historic buildings so as to better preserve Australian historic buildings - Italy, France, Germany, UK
",1986,"CHARLWOOD, James",France,yes,France
"
              To study and work on the restoration of historic buildings so as to better preserve Australian historic buildings - Italy, France, Germany, UK
",1986,"CHARLWOOD, James",Germany,yes,Germany
"
              To study and work on the restoration of historic buildings so as to better preserve Australian historic buildings - Italy, France, Germany, UK
",1986,"CHARLWOOD, James",UK,yes,UK
"
              To visit major diabetes centres to study all aspects of diabetes techniques in order to develop diabetes education services in Tasmania - USA, Germany, UK, Switzerland
",1986,"COX, Salice",USA,yes,USA
"
              To visit major diabetes centres to study all aspects of diabetes techniques in order to develop diabetes education services in Tasmania - USA, Germany, UK, Switzerland
",1986,"COX, Salice",Germany,yes,Germany
"
              To visit major diabetes centres to study all aspects of diabetes techniques in order to develop diabetes education services in Tasmania - USA, Germany, UK, Switzerland
",1986,"COX, Salice",UK,yes,UK
"
              To visit major diabetes centres to study all aspects of diabetes techniques in order to develop diabetes education services in Tasmania - USA, Germany, UK, Switzerland
",1986,"COX, Salice",Switzerland,yes,Switzerland
"
              To determine the location and identification of Australian photographs, particularly the 19th Century in British institutions - UK
",1986,"DAVIES, Alan",UK,yes,UK
"
              To study the development and use of film material in anti-discrimination education programmes - USA, UK, Canada
",1986,"DE ROME, Elizabeth",USA,yes,USA
"
              To study the development and use of film material in anti-discrimination education programmes - USA, UK, Canada
",1986,"DE ROME, Elizabeth",UK,yes,UK
"
              To study the development and use of film material in anti-discrimination education programmes - USA, UK, Canada
",1986,"DE ROME, Elizabeth",Canada,yes,Canada
"
              To study methods of organ concert programming, to record programmes on distinguished American equipment and to study American organ building - USA
",1986,"DUDMAN AM, Michael",USA,yes,USA
"
              To undertake a course in teaching the handicapped to drive - UK
",1986,"EHN, Mary",UK,yes,UK
"
              To examine the production and marketing of training programmes for small business executives and secondary and tertiary students - USA
",1986,"ELDER, Peter",USA,yes,USA
"
              To gain greater knowledge and expertise in playing the harp and then spread that knowledge by teaching in Australia - USA
",1986,"FORREST, Margaret",USA,yes,USA
"
              To observe and learn the latest theatre and film techniques in make-up and wig making in order to bring this knowledge to the Australian theatre and film industries - USA, Germany, UK
",1986,"FREEMAN, Beverley",USA,yes,USA
"
              To observe and learn the latest theatre and film techniques in make-up and wig making in order to bring this knowledge to the Australian theatre and film industries - USA, Germany, UK
",1986,"FREEMAN, Beverley",Germany,yes,Germany
"
              To observe and learn the latest theatre and film techniques in make-up and wig making in order to bring this knowledge to the Australian theatre and film industries - USA, Germany, UK
",1986,"FREEMAN, Beverley",UK,yes,UK
"
              To study the marketing of Australian wine in Japan - Japan
",1986,"GOUGH, Sarah",Japan,yes,Japan
"
              To investigate the measures which can be taken to reduce biological discolouration and fouling of water supplies in order to improve water supply quality on the Gold Coast - USA
",1986,"HAMILTON, Geoffrey",USA,yes,USA
"
              To study marine mining practices, including environmental problems and safeguards, marketing, administration and community attitudes - UK, France, Belgium, Netherlands
",1986,"HANN, John",UK,yes,UK
"
              To study marine mining practices, including environmental problems and safeguards, marketing, administration and community attitudes - UK, France, Belgium, Netherlands
",1986,"HANN, John",France,yes,France
"
              To study marine mining practices, including environmental problems and safeguards, marketing, administration and community attitudes - UK, France, Belgium, Netherlands
",1986,"HANN, John",Belgium,yes,Belgium
"
              To study marine mining practices, including environmental problems and safeguards, marketing, administration and community attitudes - UK, France, Belgium, Netherlands
",1986,"HANN, John",Netherlands,yes,Netherlands
"
              To study the design and implementation of successful strategies in the prevention of juvenile crime and Police Youth Communications - USA
",1986,"HILL, Maxwell",USA,yes,USA
