"","project","year","fellow"
"2653","
              To study overseas helicopter safety courses, researching insurance underwriters requirements and training programmes for the Australian helicopter industry - USA, Netherlands, UK, South Africa
            ","1995","TOWNSEND, Chris"
"2654","
              To expand the skills and techniques for working with horn and to develop a wider range of products - UK, France, Germany, Indonesia
            ","1995","TRIER, John"
"2655","
              To study the management of severe trauma at the John Muir Medical Centre, San Francisco General Hospital and associated agencies - USA
            ","1995","TULLOCH, Peter"
"2656","
              To attend the West Virginia Canine College to study with some of the world's leading dog training specialists - USA
            ","1995","VAN ROSSEN, Mark"
"2657","
              To attend workshops, summer schools and festivals in the field of electronic and computer music at centres of excellence - USA
            ","1995","VICKERY, Lindsay"
"2658","
              The Horological Guild Churchill Fellowship to undertake an advanced training programme at WOSTEP for watchmakers - Switzerland
            ","1995","VON KEHLER, Wolf-Dietrich"
"2659","
              To gain insights and information to enhance Australia's capacity to assist community services, organisations and groups to build self-research and evaluation - UK, USA
            ","1995","WADSWORTH, Yoland"
"2660","
              To attend a printing trade fair, two short technical courses and to visit printing organisations - Germany, Israel, UK
            ","1995","WETHERELL, Allan"
"2661","
              To study the integration of autistic children into regular schools, the effects of this on the family and to research courses available to teachers of autistic children - Singapore, UK, South Africa
            ","1995","WILLIAMS, Heather"
"2662","
              To attend workshops at the Institut International De La Marionette and the World Festival of Puppet Theatre focusing on puppetry and theatre - UK, France
            ","1995","WOODLAND, David"
"2663","
              To investigate the exhibitions and programmes of key science centres - USA, Canada, UK
            ","1994","ALLAN, Phillip"
"2664","
              The Peter Mitchell Churchill Fellowship to study music criticism - UK, Germany
            ","1994","APTHORP, Shirley"
"2665","
              The Peter Mitchell Churchill Fellowship to undertake an advanced course in violin performance - UK
            ","1994","ATKINSON, Jane"
"2666","
              To study major de-institutionalisation and community based programmes for intellectually disabled persons - USA (Supported by the Authority for Intellectually Handicapped Persons)
            ","1994","BATINI, Peter"
"2667","
              To study ""Placemaking"" - Ecological design within sensitive environments - USA, Canada, UK
            ","1994","BELL, Nigel"
"2668","
              The Sir William Kilpatrick Churchill Fellowship to examine the Development of Family Preservation programmes - USA
            ","1994","BLEBY, Peter"
"2669","
              The Jerusalem and University Botanical Garden Churchill Fellowship for the study of horticulture in Israel and recent developments in USA - Israel, USA
            ","1994","BOLAND, Anne-Maree"
"2670","
              To research the implications and changes arising from the reform of adult vocational community education - Germany, UK
            ","1994","BROWN, Anthoney"
"2671","
              The Jack Green Churchill Fellowship to study the development of the human resource in the dairy industry - USA, UK
            ","1994","BURGESS, Allan"
"2672","
              The Tasmanian Law Society Churchill Fellowship to study ways to assist all kinds of young people in learning and reaching maturity - USA
            ","1994","BURROWS, Robert"
"2673","
              To study captive breeding of rare and endangered reptiles - USA
            ","1994","CANTLE, Bryan"
"2674","
              To study and consolidate technique as an operatic conductor - Italy, Netherlands
            ","1994","CASTLES-ONION AM, Brian"
"2675","
              To gain further knowledge of the propagation and cultivation of low chill fruit trees, such as peaches, plums, nectarines, apples and pears - Australia
            ","1994","CAVILL, Richard"
"2676","
              To study the application of sustainable ecosystems to dryland agriculture - USA, UK
            ","1994","CLARK, David"
"2677","
              To attend an international conference and investigate the degree of critical incident stress management within the fire services - USA
            ","1994","CLIFFORD, William"
"2678","
              The Dame Roma Mitchell Churchill Fellowship to undertake an advanced post-graduate Diploma Course in Advanced Studies in singing at the Royal College of Music - UK
            ","1994","COLE, Tobias"
"2679","
              To achieve higher standards of cello playing and general musicianship - Croatia
            ","1994","CUMING, Sarah"
"2680","
              To study prevention and treatment programmes for refugee families in resettlement countries - Netherlands, Denmark, Norway, U.K., Ireland, USA, Canada
            ","1994","CUNNINGHAM (Now Bennett), Margaret"
